DepDate,count,holiday,long_weekend,day_of_week
1/5/2016,3809,0,0,3
1/6/2016,4066,0,0,4
1/7/2016,4275,0,0,5
1/8/2016,4084,0,0,6
1/9/2016,2625,0,0,7
1/10/2016,3416,0,0,1
1/11/2016,4043,0,0,2
1/12/2016,4301,0,0,3
1/13/2016,4651,0,0,4
1/14/2016,4962,0,0,5
1/15/2016,5299,0,0,6
1/16/2016,2797,0,0,7
1/17/2016,2784,0,1,1
1/18/2016,4672,1,0,2
1/19/2016,4812,0,0,3
1/20/2016,4608,0,0,4
1/21/2016,5086,0,0,5
1/22/2016,4396,0,0,6
1/23/2016,2062,0,0,7
1/24/2016,3325,0,0,1
1/25/2016,4505,0,0,2
1/26/2016,4630,0,0,3
1/27/2016,5047,0,0,4
1/28/2016,5324,0,0,5
1/29/2016,5010,0,0,6
1/30/2016,2606,0,0,7
1/31/2016,3713,0,0,1
2/1/2016,4089,0,0,2
2/2/2016,4137,0,0,3
2/3/2016,4558,0,0,4
2/4/2016,5100,0,0,5
2/5/2016,4836,0,0,6
2/6/2016,2858,0,0,7
2/7/2016,3238,0,0,1
2/8/2016,5006,0,0,2
2/9/2016,4500,0,0,3
2/10/2016,5299,0,0,4
2/11/2016,5828,0,0,5
2/12/2016,6049,0,0,6
2/13/2016,3170,0,0,7
2/14/2016,2992,0,1,1
2/15/2016,4966,1,0,2
2/16/2016,5452,0,0,3
2/17/2016,5423,0,0,4
2/18/2016,5280,0,0,5
2/19/2016,4976,0,0,6
2/20/2016,2964,0,0,7
2/21/2016,4117,0,0,1
2/22/2016,4472,0,0,2
2/23/2016,4446,0,0,3
2/24/2016,4685,0,0,4
2/25/2016,5566,0,0,5
2/26/2016,5067,0,0,6
2/27/2016,2809,0,0,7
2/28/2016,3826,0,0,1
2/29/2016,4492,0,0,2
3/1/2016,4471,0,0,3
3/2/2016,4690,0,0,4
3/3/2016,5364,0,0,5
3/4/2016,4976,0,0,6
3/5/2016,2972,0,0,7
3/6/2016,3955,0,0,1
3/7/2016,4642,0,0,2
3/8/2016,4439,0,0,3
3/9/2016,5034,0,0,4
3/10/2016,5300,0,0,5
3/11/2016,4895,0,0,6
3/12/2016,3272,0,0,7
3/13/2016,4277,0,0,1
3/14/2016,4285,0,0,2
3/15/2016,4730,0,0,3
3/16/2016,5049,0,0,4
3/17/2016,5242,0,0,5
3/18/2016,5153,0,0,6
3/19/2016,3792,0,0,7
3/20/2016,4255,0,0,1
3/21/2016,4466,0,0,2
3/22/2016,4574,0,0,3
3/23/2016,5012,0,0,4
3/24/2016,5643,0,0,5
3/25/2016,4512,0,0,6
3/26/2016,2774,0,0,7
3/27/2016,3398,0,0,1
3/28/2016,5095,0,0,2
3/29/2016,4605,0,0,3
3/30/2016,4761,0,0,4
3/31/2016,5055,0,0,5
4/1/2016,4566,0,0,6
4/2/2016,3375,0,0,7
4/3/2016,4433,0,0,1
4/4/2016,4459,0,0,2
4/5/2016,4874,0,0,3
4/6/2016,5315,0,0,4
4/7/2016,5602,0,0,5
4/8/2016,5310,0,0,6
4/9/2016,3228,0,0,7
4/10/2016,4453,0,0,1
4/11/2016,4739,0,0,2
4/12/2016,4587,0,0,3
4/13/2016,5041,0,0,4
4/14/2016,5363,0,0,5
4/15/2016,4835,0,0,6
4/16/2016,2893,0,0,7
4/17/2016,3994,0,0,1
4/18/2016,4478,0,0,2
4/19/2016,4863,0,0,3
4/20/2016,5282,0,0,4
4/21/2016,5586,0,0,5
4/22/2016,4946,0,0,6
4/23/2016,2538,0,0,7
4/24/2016,4116,0,0,1
4/25/2016,4659,0,0,2
4/26/2016,4794,0,0,3
4/27/2016,5016,0,0,4
4/28/2016,5429,0,0,5
4/29/2016,4909,0,0,6
4/30/2016,2773,0,0,7
5/1/2016,4136,0,0,1
5/2/2016,4292,0,0,2
5/3/2016,4543,0,0,3
5/4/2016,5295,0,0,4
5/5/2016,5976,0,0,5
5/6/2016,4923,0,0,6
5/7/2016,2924,0,0,7
5/8/2016,3981,0,0,1
5/9/2016,4592,0,0,2
5/10/2016,4944,0,0,3
5/11/2016,5312,0,0,4
5/12/2016,5650,0,0,5
5/13/2016,5169,0,0,6
5/14/2016,1812,0,0,7
5/15/2016,4096,0,0,1
5/16/2016,4839,0,0,2
5/17/2016,5092,0,0,3
5/18/2016,5307,0,0,4
5/19/2016,5573,0,0,5
5/20/2016,4201,0,0,6
5/21/2016,2392,0,0,7
5/22/2016,3771,0,0,1
5/23/2016,4060,0,0,2
5/24/2016,4721,0,0,3
5/25/2016,5066,0,0,4
5/26/2016,5341,0,0,5
5/27/2016,5066,0,0,6
5/28/2016,2491,0,0,7
5/29/2016,2252,0,1,1
5/30/2016,3800,1,0,2
5/31/2016,4892,0,0,3
6/1/2016,5040,0,0,4
6/2/2016,5017,0,0,5
6/3/2016,4679,0,0,6
6/4/2016,2675,0,0,7
6/5/2016,3887,0,0,1
6/6/2016,4387,0,0,2
6/7/2016,4778,0,0,3
6/8/2016,5308,0,0,4
6/9/2016,5557,0,0,5
6/10/2016,5231,0,0,6
6/11/2016,2876,0,0,7
6/12/2016,3937,0,0,1
6/13/2016,4930,0,0,2
6/14/2016,4844,0,0,3
6/15/2016,4483,0,0,4
6/16/2016,5291,0,0,5
6/17/2016,5209,0,0,6
6/18/2016,2945,0,0,7
6/19/2016,3817,0,0,1
6/20/2016,4956,0,0,2
6/21/2016,4669,0,0,3
6/22/2016,5450,0,0,4
6/23/2016,5637,0,0,5
6/24/2016,5007,0,0,6
6/25/2016,3033,0,0,7
6/26/2016,4197,0,0,1
6/27/2016,4733,0,0,2
6/28/2016,4779,0,0,3
6/29/2016,5434,0,0,4
6/30/2016,5915,0,0,5
